"lb_code";"lb_hab_fr"
"31.861";Landes subatlantiques à Fougères
"31.89";Fourrés caducifoliés sub-méditerranéens sud-occidentaux
"31.891";Fourrés caducifoliés sub-méditerranéens franco-ibériques
"34";Pelouses calcicoles sèches et steppes
"34.3";Pelouses pérennes denses et steppes médio-européennes
"34.32";Pelouses calcaires sub-atlantiques semi-arides
"34.324";Pelouses alluviales et humides du Mesobromion
"35";Pelouses silicicoles sèches
"35.1";Pelouses atlantiques à Nard raide et groupements apparentés
"35.11";Gazons à Nard raide
"36";Pelouses alpines et subalpines
"36.1";Communautés des combes à neige
"36.11";Communautés des combes à neige acidiphiles
"36.111";Communautés acidiphiles des combes à neige alpines
"36.1111";Communautés acidiphiles des combes à neige alpines à mousses
"36.1112";Communautés acidiphiles des combes à neige alpines à Saule nain
"36.1113";Communautés acidiphiles de combes à neige alpines à Carex-Gnaphalium
"36.12";Communautés de combes à neige sur substrats calcaires
"36.121";Communautés des combes à neige sur calcaires à Arabis-Gnaphalium
"36.122";Communautés des combes à neige sur calcaires, à Saules en espaliers
"36.3";Pelouses acidiphiles alpines et subalpines
"36.31";Gazons à Nard raide et groupements apparentés
"36.312";Nardaies pyrénéo-alpines hygrophiles
"36.316";Nardaies sommitales hercyniennes
"36.3161";Nardaies sommitales des Hautes-Chaumes
"36.37";Pelouses des hautes montagnes corses
"36.372";Nardaies des pozzines corses
"37";Prairies humides et mégaphorbiaies
"37.1";Communautés à Reine des prés et communautés associées
"37.2";Prairies humides eutrophes
"37.21";Prairies humides atlantiques et subatlantiques
"37.211";Prairies humides à cirse des maraîchers
"37.212";Prairies humides à Trolle et Cirse des ruisseaux
"37.213";Prairies à Canche cespiteuse
"37.214";Prairies à Séneçon aquatique
"37.215";Prairies à Renouée bistorte
"37.216";Prairies à Jonc filiforme
"37.217";Prairies à Jonc diffus
"37.218";Prairies à Jonc subnoduleux
"37.219";Prairies à Scirpe des bois
"37.22";Prairies à Jonc acutiflore
"37.23";Prairies subcontinentales à Cnidium
"37.24";Prairies à Agropyre et Rumex
"37.241";Pâtures à grand jonc
"37.242";Pelouses à Agrostide stolonifère et Fétuque faux roseau
"37.25";Prairies humides de transition à hautes herbes
"37.3";Prairies humides oligotrophes
"37.31";Prairies à Molinie et communautés associées
"37.311";Prairies à Molinie sur calcaires
"37.312";Prairies à Molinie acidiphiles
"37.32";Prairies à Jonc rude et pelouses humides à Nard
"37.4";Prairies humides méditerranéennes à grandes herbes
"37.5";Prairies humides méditerranéennes rases
"37.7";Lisières humides à grandes herbes
"37.71";Voiles des cours d'eau
"37.711";Communautés fluviales à Angelica archangelica
"37.712";Communautés fluviales à Angelica heterocarpa
"37.713";Ourlets à Althaea officinalis
"37.714";Communautés riveraines à Pétasites
"37.715";Ourlets riverains mixtes
"37.72";Franges des bords boisés ombragés
"37.8";Mégaphorbiaies alpines et subalpines
"37.81";Mégaphorbiaies des montagnes hercyniennes, du Jura et des Alpes
"37.83";Mégaphorbiaies pyrénéo-ibériques
"37.85";Mégaphorbiaies corses à Cymbalaria
"37.86";Mégaphorbiaies corses à Doronicum
"38";Prairies mésophiles
"38.1";Pâtures mésophiles
"38.11";Pâturages continus
"38.12";Pâturages interrompus par des fossés
"38.2";Prairies de fauche de basse altitude
"38.21";Prairies de fauche atlantiques
"38.22";Prairies de fauche des plaines médio-européennes
"38.23";Prairies de fauche submontagnardes médio-européennes
"38.3";Prairies de fauche de montagne
"4";Forêts
"41";Forêts caducifoliées
"41.1";Hêtraies
"41.15";Hêtraies subalpines
"41.2";Chênaies-charmaies
"41.21";Chênaies atlantiques mixtes à Jacinthes des bois
"41.22";Frênaies-chênaies et chênaies-charmaies aquitaniennes
"41.23";Frênaies-chênaies sub-atlantiques à primevère
"41.231";Frênaies-chênaies à Arum
"41.232";Frênaies-chênaies à Corydale
"41.233";Frênaies-chênaies à Ail
"41.24";Chênaies-charmaies à Stellaire sub-atlantiques
"41.241";Chênaies-charmaies du Nord-Ouest
"41.242";Chênaies-charmaies de Lorraine sur marnes
"41.243";Chênaies-charmaies collinéennes du Bourgogne
"41.244";Chênaies-charmaies des plaines du Bourgogne
"41.28";Chênaies-charmaies sud-alpines
"41.3";Frênaies
"41.35";Frênaies mixtes atlantiques à jacinthe
"41.36";Frênaies d'Aquitaine
"41.37";Frênaies sub-atlantiques
"41.4";Forêts mixtes de pentes et ravins
"41.41";Forêts de ravin à Frêne et Sycomore
"41.43";Forêts de pente alpiennes et péri-alpiennes
"41.5";Chênaies acidiphiles
"41.51";Bois de Chênes pédonculés et de Bouleaux
"41.54";Chênaies aquitano-ligériennes sur podzols
"41.56";Chênaies acidiphiles ibéro-atlantiques
"41.561";Chênaies acidiphiles pyrénéennes
"41.5612";Chênaies acidiphiles pyrénéennes hygrophiles
"41.B";Bois de Bouleaux
"41.B1";Bois de bouleaux de plaine et colline
"41.B11";Bois de Bouleaux humides
"41.B111";Bois de Bouleaux humides septentrionaux
"41.B112";Bois de Bouleaux humides aquitano-ligériens
"41.C";Aulnaies
"41.C2";Bois d'Alnus glutinosa
"41.F";Bois d'Ormes
"41.F1";Bois d'Ormes à petites feuilles
"41.F11";Bois d'Ormes à Violette odorante
"42";Forêts de conifères
"42.2";Pessières
"42.21";Pessières sub-alpines des Alpes
"42.212";Pessières subalpines à hautes herbes
"42.2121";Pessières subalpines calcicoles à hautes herbes
"42.2122";Pessières subalpines silicicoles à hautes herbes
"42.213";Pessières subalpines à sphaignes
"42.22";Pessières montagnardes des Alpes internes
"42.224";Pessières montagnardes intra-alpines à hautes herbes
"42.225";Pessières montagnardes intra-alpines à Sphaignes
"42.3";Forêts de Mélèzes et d'Arolles
"42.31";Forêts siliceuses orientales à Mélèze et Arolle
"42.317";Forêts de Mélèzes et d'Arolles à Aulnes verts et hautes herbes
"42.319";Forêts d'Arolles à Sphaignes
"42.33";Forêts occidentales de Mélèzes, de Pins de montagne et d'Arolles
"42.331";Forêts occidentales de Mélèzes et de Mélèzes et de Pins de montagne
"42.3313";Forêts occidentales de Mélèzes et de Mélèzes et de Pins de montagne sur hautes herbes
"42.4";Forêts de Pins de montagne
"42.41";Forêts de Pins de montagne à Rhododendron ferrugineux
"42.411";Forêts de Pins de montagne à Rhododendron des Alpes externes
"42.5";Forêts de Pins sylvestres
"42.52";Forêts de Pins sylvestres médio-européennes
"42.521";Forêts subcontinentales de Pins sylvestres
"44";Forêts riveraines, forêts et fourrés très humides
"44.1";Formations riveraines de Saules
"44.11";Saussaies pré-alpines
"44.111";Saussaies à Myricaria
"44.112";Saussaies à Argousier
"44.12";Saussaies de plaine, collinéennes et méditerranéo-montagnardes
"44.121";Saussaies à Osier et Salix triandra
"44.122";Saussaies à Saule pourpre méditerranéennes
"44.13";Forêts galeries de Saules blancs
"44.14";Galeries méditerranéennes de grands Saules
"44.141";Galeries méditerranéennes de Saules blancs
"44.1411";Galeries ibériques de grands Saules
"44.1412";Galeries de Salix alba méditerranéennes
"44.142";Bois riverains de Saules à feuilles d'Olivier et de Saules cendrés
"44.2";Galeries d'Aulnes blancs
"44.21";Galeries montagnardes d'Aulnes blancs
"44.22";Galeries sub-montagnardes d'Aulnes blancs
"44.3";Forêt de Frênes et d'Aulnes des fleuves médio-européens
"44.31";Forêts de Frênes et d'Aulnes des ruisselets et des sources (rivulaires)
"44.311";Forêts de Frênes et d'Aulnes à Laîches
"44.312";Forêts de Frênes et d'Aulnes fontinales
"44.313";Forêts de Frênes et d'Aulnes à Cirse des maraîchers
"44.314";Forêts de Frênes et d'Aulnes des bords de sources à groseillers
"44.315";Forêts de Frênes et d'Aulnes à grande Prêle
"44.32";Bois de Frênes et d'Aulnes des rivières à débit rapide
"44.33";Bois de Frênes et d'Aulnes des rivières à eaux lentes
"44.331";Bois de Frênes et d'Aulnes des rivières médio-européennes à eaux lentes à cerisiers à grappes
"44.332";Bois de Frênes et d'Aulnes à hautes herbes
"44.34";Galeries d'Aulnes nord-ibériques
"44.342";Galeries d'Aulnes pyrénéo-cantabriques
"44.343";Galeries d'Aulnes pyrénéo-catalanes
"44.4";Forêts mixtes de Chênes, d'Ormes et de Frênes des grands fleuves
"44.41";Grandes forêts fluviales médio-européennes
"44.42";Forêts fluviales médio-européennes résiduelles
"44.5";Galeries méridionales d'Aulnes et de Bouleaux
"44.51";Galeries méridionales d'Aulnes glutineux
"44.513";Galeries d'Aulnes méditerranéennes occidentales
"44.53";Galeries corses d'Aulnes glutineux et d'Aulnes à feuilles cordées
"44.531";Galeries d'Aulnes collinéennes corses
"44.532";Galeries d'Aulnes montagnardes corses
"44.6";Forêts méditerranéennes de Peupliers, d'Ormes et de Frênes
"44.61";Forêts de Peupliers riveraines et méditerranéennes
"44.612";Galeries de Peupliers provenço-languedociennes
"44.62";Forêts d'Ormes riveraines et méditerranéennes
"44.63";Bois de Frênes riverains et méditerranéens
"44.64";Galeries de Charmes Houblon
"44.8";Galeries et fourrés riverains méridionaux
"44.81";Galeries de Laurier-roses, de Gattiliers et de Tamaris
"44.811";Galeries de Laurier-rose
"44.812";Fourrés de Gattiliers
"44.813";Fourrés de Tamaris
"44.8131";Fourrés de Tamaris ouest-méditerranéens
"44.9";Bois marécageux d'Aulne, de Saule et de Myrte des marais
"44.91";Bois marécageux d'Aulnes
"44.911";Bois d'Aulnes marécageux méso-eutrophes
"44.9111";Bois d'Aulnes marécageux atlantiques à grandes touffes de laîches
"44.9112";Bois d'Aulnes marécageux à laîche allongée
"44.912";Bois d'Aulnes marécageux oligotrophes
"44.92";Saussaies marécageuses
"44.921";Saussaies marécageuses à Saule cendré
"44.922";Saussaies à sphaigne
"44.923";Saussaies marécageuses à Saule laurier
"44.924";Saussaies naines marécageuses
"44.93";Bois marécageux de Bouleaux et de piment royal
"44.A";Forêts marécageuses de Bouleaux et de Conifères
"44.A1";Bois de Bouleaux à Sphaignes
"44.A11";Forêts de Bouleaux à Sphaignes et Linaigrettes
"44.A12";Bois de Bouleaux à Sphaignes et à Laîches
"44.A13";Bois de Bouleaux à Sphaignes méso-acidiphiles
"44.A2";Bois tourbeux de Pins sylvestres
"44.A3";Bois tourbeux de Pins de montagne
"44.A4";Bois d'Epicéas à Sphaignes
"44.A41";Pessières à Sphaignes montagnardes
"44.A42";Tourbières boisées à Epicéas
"5";Tourbières et marais
"51";Tourbières hautes
"51.1";Tourbières hautes à peu près naturelles
"51.11";Buttes, bourrelets et pelouses tourbeuses
"51.111";Buttes de Sphaignes colorées (bulten)
"51.1111";Buttes de Sphagnum magellanicum
"51.1112";Buttes de Sphagnum fuscum
"51.1113";Couronnes de buttes à Sphagnum rubellum
"51.1114";Buttes de Sphagnum rubellum
"51.1115";Buttes de Sphagnum imbricatum
"51.1116";Buttes de Sphagnum papillosum
"51.1117";Buttes de Sphagnum capillifolium
"51.112";Bases des buttes et pelouses de Sphaignes vertes
"51.113";Buttes à buissons nains
"51.1131";Buttes à buissons de Callune prostrée
"51.1132";Buttes à buissons de Bruyère tétragone
"51.1133";Buttes à buissons de Camarine
"51.1134";Buttes à buissons de Vaccinium
"51.1136";Buttes à buissons de Myrte des marais (ou piment royal)
"51.114";Communautés de tourbières bombées à Trichophorum cespitosum
"51.115";Tourbières bombées à Erica et Sphagnum
"51.12";Tourbières basses (Schlenken)
"51.121";Chenaux, cuvettes profondes
"51.122";Chenaux superficiels, cuvettes peu profondes
"51.13";Mares de tourbières
"51.131";Dépressions tourbeuses (Kolk)
"51.132";Autres mares de tourbières
"51.14";Suintements et rigoles de tourbières
"51.141";Tourbières à Narthecium
"51.142";Rigoles à Myrte des marais
"51.143";Autres communautés des rigoles et chenaux de tourbières
"51.15";Garnitures de bordure (lagg)
"51.16";Pré-bois tourbeux
"51.2";Tourbières à Molinie bleue
"52";Tourbières de couverture
"53";Végétation de ceinture des bords des eaux
"53.1";Roselières
"53.11";Phragmitaies
"53.111";Phragmitaies inondées
"53.112";Phragmitaies sèches
"53.113";Phagmitaies géantes
"53.12";Scirpaies lacustres
"53.13";Typhaies
"53.14";Roselières basses
"53.141";Communautés de Sagittaires
"53.142";Communautés à Rubanier négligé
"53.143";Communautés à Rubanier rameux
"53.144";Communautés avec Acore vrai
"53.145";Communautés à Jonc fleuri
"53.146";Communautés d'Oenanthe aquatica et de Rorippa amphibia
"53.147";Communautés de Prêles d'eau
"53.148";Communautés de Grande Berle
"53.149";Végétation à Hippuris vulgaris
"53.14A";Végétation à Eleocharis palustris
"53.15";Végétation à Glyceria maxima
"53.16";Végétation à Phalaris arundinacea
"53.17";Végétation à Scirpes halophiles
"53.2";Communautés à grandes Laîches
"53.21";Peuplements de grandes Laîches (Magnocariçaies)
"53.211";Cariçaies à laîche distique
"53.212";Cariçaies à laîche aiguë et communautés s'y rapportant
"53.2121";Cariçaies à laîche aiguë
"53.2122";Cariçaies à laîche des marais
"53.213";Cariçaies à Carex riparia
"53.214";Cariçaies à Carex rostrata et à Carex vesicaria
"53.2141";Cariçaies à Carex rostrata
"53.2142";Cariçaies à Carex vesicaria
"53.215";Cariçaies à Carex elata et de Carex cespitosa
"53.2151";Cariçaies à Carex elata
"53.2152";Cariçaies à Carex cespitosa
"53.216";Cariçaies à Carex paniculata
"53.217";Cariçaies à Carex appropinquata
"53.218";Cariçaies à Carex pseudocyperus
"53.219";Cariçaies à Carex vulpina
"53.2191";Cariçaies à Carex vulpina
"53.2192";Cariçaies à Carex cuprina
"53.21A";Végétation à Carex buxbaumii
"53.3";Végétation à Cladium mariscus
"53.31";Cladiaies des bas-marais
"53.33";Cladiaies riveraines
"53.4";Bordures à Calamagrostis des eaux courantes
"53.5";Jonchaies hautes
"53.6";Formations riveraines de Cannes
"53.61";Communautés avec les Cannes de Ravenne
"53.62";Peuplements de Cannes de Provence
"54";Bas-marais, tourbières de transition et sources
"54.1";Sources
"54.11";Sources d'eaux douces pauvres en bases
"54.111";Sources d'eaux douces à Bryophytes
"54.112";Sources à Cardamines
"54.12";Sources d'eaux dures
"54.121";Cônes de tufs
"54.122";Sources calcaires
"54.2";Bas-marais alcalins (tourbières basses alcalines)
"54.21";Bas-marais à Schoenus nigricans (choin noir)
"54.22";Bas-marais à Schoenus ferrugineus
"54.221";Bas-marais péri-alpins à Schoenus ferrugineus (choin ferrugineux)
"54.23";Tourbières basses à Carex davalliana
"54.231";Bas-marais à Carex davalliana floristiquement riches
"54.232";Bas-marais à Carex davalliana et Trichophorum cespitosum
"54.24";Bas-marais alcalins pyrénéens
"54.25";Bas-marais à Carex dioica, C. pulicaris, C. flava
"54.253";Bas-marais à Carex flava médio-européens
"54.26";Bas-marais à Carex nigra
"54.28";Bas-marais à Carex frigida
"54.2A";Bas-marais à Eleocharis quinqueflora
"54.2C";Bas-marais alcalins à Carex rostrata
"54.2D";Tourbières basses alcalines à Scirpus hudsonianus
"54.2E";Bas-marais alcalins à Trichophorum cespitosum
"54.2F";Bas-marais médio-européens à Blysmus compressus
"54.2G";Bas-marais alcalins à petites herbes
"54.2H";Bas-marais alcalins dunaires à Carex trinervis
"54.2I";Bas-marais à hautes herbes
"54.3";Gazons riverains arctico-alpins
"54.31";Gazons riverains arctico-alpins à élyne fausse Laîche
"54.32";Gazons riverains arctico-alpins à Carex maritima
"54.33";Gazons riverains arctico-alpins à Typha
"54.4";Bas-marais acides
"54.41";Ceintures lacustres à Eriophorum scheuchzeri
"54.42";Tourbières basses à Carex nigra, C. canescens et C. echinata
"54.421";Bas-marais alpins à Carex fusca
"54.422";Bas-marais sub-atlantiques à Carex nigra, C. canescens et C. echinata
"54.4221";Bas-marais acides sub-atlantiques à Carex
"54.4222";Bas-marais acides subatlantiques à Carex et Juncus
"54.4223";Bas-marais sub-atlantiques à Carex et Sphagnum
"54.4224";Bas-marais sub-atlantiques à Carex, Juncus et Sphagnum
"54.424";Bas-marais acides pyrénéens à Laîche noire
"54.44";Pozzines complexes à Carex intricata
"54.442";Pozzines complexes corses à Carex intricata
"54.45";Bas-marais acides à Trichophorum cespitosum
"54.451";Bas-marais acides alpiens à Trichophorum cespitosum
"54.452";Bas-marais acides pyrénéens à Trichophorum cespitosum
"54.454";Bas-marais acides sub-atlantiques à Trichophorum cespitosum
"54.455";Bas-marais acides corses à Trichophorum cespitosum
"54.46";Bas-marais à Eriophorum angustifolium
"54.5";Tourbières de transition
"54.51";Pelouses à Carex lasiocarpa
"54.511";Pelouses de Carex lasiocarpa et Mousses brunes
"54.512";Pelouses à Carex lasiocarpa et Sphaignes
"54.52";Tourbières tremblantes à Carex diandra
"54.53";Tourbières tremblantes à Carex rostrata
"54.531";Tourbières tremblantes acidiclines à Carex rostrata
"54.532";Tourbières tremblantes basiclines à Carex rostrata
"54.5321";Tourbières tremblantes basiclines à Carex rostrata et Sphaignes
"54.5322";Tourbières tremblantes basiclines à Carex rostrata et Mousses brunes
"54.54";Pelouses à Carex limosa
"54.541";Pelouses à Carex limosa des bourbiers et Mousses brunes
"54.542";Pelouses à Carex limosa et Sphaignes
"54.55";Pelouses à Carex chordorrhiza
"54.56";Pelouses à Carex heleonastes
"54.57";Tourbières tremblantes à Rhynchospora
"54.58";Radeaux de Sphaignes et de Linaigrettes
"54.59";Radeaux à Menyanthes trifoliata et Potentilla palustris
"54.5A";Tourbières à Calla
"54.5B";Tapis de Mousses brunes
"54.5C";Tourbières tremblantes à Eriophorum vaginatum
"54.5D";Tourbières tremblantes à Molinia caerulea
"54.5E";Tourbières tremblantes à Calamagrostis stricta
"54.5F";Tourbières tremblantes à Scirpus hudsonianus
"54.6";Communautés à Rhynchospora alba
"6";Rochers continentaux, éboulis et sables
"61";Eboulis
"61.3";Eboulis ouest-méditerranéens et éboulis thermophiles
"61.34";Eboulis calcaires pyrénéens
"61.344";Eboulis calcaires humides pyrénéens
"62";Falaises continentales et rochers exposés
"62.5";Falaises continentales humides
"62.51";Falaises continentales humides méditerranéennes
"8";Terres agricoles et paysages artificiels
"81";Prairies améliorées
"81.2";Prairies humides améliorées
"82";Cultures
"82.4";Cultures inondées
"82.41";Rizières
"82.42";Cressonnières
"83";Vergers, bosquets et plantations d'arbres
"83.3";Plantations
"83.32";Plantations d'arbres feuillus
"83.321";Plantations de Peupliers
"83.3211";Plantations de Peupliers avec une strate herbacée élevée (Mégaphorbiaies)
"83.3212";Autres plantations de Peupliers
"84";Alignements d'arbres, haies, petits bois, bocage, parcs
"84.3";Petits bois, bosquets
"84.4";Bocages
"87";Terrains en friche et terrains vagues
"87.1";Terrains en friche
"87.2";Zones rudérales
